Please go through day10 and day11 zip files before asking any doubts. Also check man pages before asking questions.,,,,,
Name (optional),Doubt,Response,,,
,"Is there any specific way/format you want us to store in the file, or is anyway we find suitable and working acceptable?","First the header which occupies sizeof(tree_t) bytes. And then followed by tree nodes. If I call add new node and the free list is empty, then add the new node to the end of the file (which would increase the filesize by sizeof(node_t) bytes)",,,
,What is the maximum number of elements to be stored in the tree?,No assumption as such.,,,
,"To keep the changes made to the file seamless and up to date every now and then, can we reopen the fp at the start and close it at the end of every change involving function?","Not sure why you think this would be required. When I mentioned I'll close and restart the program, I meant I'll call close_tree to safely close the file so all the changes are synced to the disk. Also how would you call fopen in every function; I'll be passing the filename only to init_tree function.",,,
,Could you explain the use of 'free_head' variable in detail?,"Suppose you already have a tree in a file. So, the file looks something like this: header followed by some number of nodes. Assume that right now I haven't ever called delete node function, so your free list will be empty. Now suppose, I call delete node and that node is somewhere in the middle of the file. This node would now be invalid, and won't be a part of the tree anymore. You won't be shifting the rest of the data to fill in this hole (imagine all the offsets you'd have to change and the complex logic you'd have to write). So, now what you can do is, keep a track of all these free nodes in a linked list. To make a list, you can use the logic I've put in the doc. Whenever I call add new node, you'll check whether you can use up a node from the free list, so instead of growing the file size, you'll just use one of the invalidated nodes.",,,
,So filename should be accepted from the terminal?,Filename will be passed to init_tree function. Please go through the header file.,,,
,"Regarding q6 will you be creating the new file first,closing the program and then running the program with the menu driven option?","We won't be using a menu driven approach. You guys don't have to worry about what's going to happen on client side. Just implement the functions mentioned in the interface. As for init_tree, I hope the description is clear: we'll pass in a filename, if the file exists (it means a tree already exists), just open the file and return the file ptr, if it doesn't exist, create a file with that filename and fwrite/put the header structure in there with it's values grounded to indicate empty tree.",,,
,So q5's response means that free_head will be used to determine whether a certain node is free to be deleted or not?,"No, check the response again.",,,
,"If you're deleting a node and adding it to the free list, then how'll you reuse it? ","Please think about what deleting a node in this context means. It's not the same as free(node) that you'd normally call in a BST program. In this case you basically have a hole of sizeof(node_t) bytes in between some useful data. By adding to the free list, all I mean is, you'll update one of the left or right offsets to point to old free_head's value and the new free_head's value will be the offset to this invalidated node. When it comes to reusing this hole, when I call add new node check if this free_head's list is empty or not, if not just use up a node to make this the new node.",,,
,And lastly what'll be free_head's initial value?,All invalid offsets can be respresented using -1. So -1 logically should be free_head's initial value.,,,
,I'm sorry but the free_head concept is still unclear.Could you please include an example in the FT-4 google docs?Like how it was done for the previous ones?,"Please read the other responses, and if it's still not clear then mail us.",,,
,"How will you insert a new node, if the root value keeps changing? Shouldn't we go through the tree, from the starting index, to determine the actual postion of this new node. Or will we be making the header_t.root a constant node, poinint to the root of the tree, and creating a copy of this root value and changing that  while inserting/displaying/deleting. ","See, this entire thing is the same as your usual binary search tree implementation. Just that, instead of pointers you're using integer offsets. Since the root can change you'll just change the root offset value in the header to indicate the new root. The new root's actual position with the data could be anywhere down the file.",,,
,"Just as how you explained free_head in detail, please explain the role of root in detail ","See, this entire thing is the same as your usual binary search tree implementation. Just that, instead of pointers you're using integer offsets. Since the root can change you'll just change the root offset value in the header to indicate the new root. The new root's actual position with the data could be anywhere down the file.",,,
,"Instead of creating a list of free nodes, can we use the logic where the free_head has offset to the first free location, and that free location has the offset of the next free location and so on. So we can itially make the value of free_head as sizeof(tree_t). This way we wouldn't need to create a separate list right. Also since we do not know the number of free spaces that are going to be there, it will be difficult to keep changing the size of the list as the number of free spaces keeps increasing.","Isn't whatever you're suggesting same as a list itself? By list I meant linked list itself, not an array of some fixed size. Also, you can try the method you're suggesting where you initially have it as sizeof(tree_t) but there could be a possibility of segfault; if it works, well and good. ",,,
,what if in the case where the node you want to delete is a parent node? should we do the replacing with max/min node of a sub tree,Do what has been taught in algorithms course which I believe is they've taught you to replace the parent with inorder successor. https://en.wikipedia.org/wiki/Binary_search_tree#Deletion,,,
,Should we use txt file or dat file to store the nodes? Because txt file would be easier to visualize but dat file may be easier to write to,Please try to understand that this assignment is all about writing arbitrary binary data (and not some simple text data) to a file using fwrite and fread. This arbitrary binary data is the same representation that your program structures will have while in memory (RAM). File extensions have no meaning when it comes to functionality. You don't have to worry about file extensions as we'll be giving you guys the filename.,,,
